Mercury KX1,Mercury+ KX2,Product Name,Connector A,Pin Numbers,Product Name,Mercury KX1,Mercury+ KX2
Signal Name,Signal Name,Pin Type,Outside,Inside,Pin Type,Signal Name,Signal Name
VCC_MOD,VCC_MOD,VIN_MOD,1,2,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,3,4,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,5,6,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,7,8,VIN_MOD,VCC_MOD,VCC_MOD
VCC_MOD,VCC_MOD,VIN_MOD,9,10,PWR_EN,PWR_EN,PWR_EN
VCC_MOD,VCC_MOD,VIN_MOD,11,12,PWR_GOOD,PWR_GOOD,PWR_GOOD
GND,GND,GND,13,14,GND,GND,GND
IO_B12_L15_W20_P,IO_B12_L15_W20_P,IO_P,15,16,SCLK_P,IO_B12_L12_MRCC_Y23_P,IO_B12_L11_SRCC_AA23_P
IO_B12_L15_Y21_N,IO_B12_L15_Y21_N,IO_N,17,18,SCLK_N,IO_B12_L12_MRCC_AA24_N,IO_B12_L11_SRCC_AB24_N
IO_B12_L17_AB22_P,IO_B12_L19_AD21_P,IO_P,19,20,GND,GND,GND
IO_B12_L17_AC22_N,IO_B12_L19_VREF_AE21_N,IO_N,21,22,IO_P,IO_B12_L18_AB21_P,IO_B12_L18_AB21_P
GND,GND,GND,23,24,IO_N,IO_B12_L18_AC21_N,IO_B12_L18_AC21_N
IO_B12_L21_AD26_P,IO_B12_L24_AE22_P,IO_P,25,26,VOUT_3V3,VCC_3V3,VCC_3V3
IO_B12_L21_AE26_N,IO_B12_L24_AF22_N,IO_N,27,28,IO_P,IO_B12_L1_U22_P,IO_B12_L17_AB22_P
VCC_3V3,VCC_3V3,VOUT_3V3,29,30,IO_N,IO_B12_L1_V22_N,IO_B12_L17_AC22_N
IO_B12_L23_AD25_P,IO_B12_L6_V21_P,IO_P,31,32,GND,GND,GND
IO_B12_L23_AE25_N,IO_B12_L6_VREF_W21_N,IO_N,33,34,IO_P,IO_B12_L6_V21_P,IO_B12_L22_AE23_P
GND,GND,GND,35,36,IO_N,IO_B12_L6_VREF_W21_N,IO_B12_L22_AF23_N
IO_B12_L8_W23_P,IO_B12_L3_V23_P,IO_P,37,38,VIN_IO,VCC_IO_B12,VCC_IO_B12
IO_B12_L8_W24_N,IO_B12_L3_V24_N,IO_N,39,40,IO_P,IO_B12_L11_SRCC_AA23_P,IO_B12_L20_AF24_P
VCC_IO_B12,VCC_IO_B12,VIN_IO,41,42,IO_N,IO_B12_L11_SRCC_AB24_N,IO_B12_L20_AF25_N
IO_B12_L2_U24_P,IO_B12_L2_U24_P,IO_P,43,44,GND,GND,GND
IO_B12_L2_U25_N,IO_B12_L2_U25_N,IO_N,45,46,PCLK_P,IO_B12_L13_MRCC_Y22_P,IO_B12_L13_MRCC_Y22_P
GND,GND,GND,47,48,PCLK_N,IO_B12_L13_MRCC_AA22_N,IO_B12_L13_MRCC_AA22_N
IO_B12_L14_SRCC_AC23_P,IO_B12_L14_SRCC_AC23_P,SCLK_P,49,50,VOUT_3V3,VCC_3V3,VCC_3V3
IO_B12_L14_SRCC_AC24_N,IO_B12_L14_SRCC_AC24_N,SCLK_N,51,52,IO_P,IO_B12_L3_V23_P,IO_B12_L23_AD25_P
VCC_2V5,VCC_2V5,VOUT,53,54,IO_N,IO_B12_L3_V24_N,IO_B12_L23_AE25_N
IO_B12_L5_W25_P,IO_B12_L5_W25_P,IO_P,55,56,GND,GND,GND
IO_B12_L5_W26_N,IO_B12_L5_W26_N,IO_N,57,58,IO_P,IO_B12_L4_U26_P,IO_B12_L16_AD23_P
GND,GND,GND,59,60,IO_N,IO_B12_L4_V26_N,IO_B12_L16_AD24_N
IO_B12_L7_AA25_P,IO_B12_L4_U26_P,IO_P,61,62,VOUT,VCC_2V5,VCC_2V5
IO_B12_L7_AB25_N,IO_B12_L4_V26_N,IO_N,63,64,IO_P,IO_B12_L10_Y25_P,IO_B12_L1_U22_P
VCC_2V5,VCC_2V5,VOUT,65,66,IO_N,IO_B12_L10_Y26_N,IO_B12_L1_V22_N
IO_B12_L9_AB26_P,IO_B12_L9_AB26_P,IO_P,67,68,GND,GND,GND
IO_B12_L9_AC26_N,IO_B12_L9_AC26_N,IO_N,69,70,IO_P,IO_B12_L16_AD23_P,IO_B12_L8_W23_P
GND,GND,GND,71,72,IO_N,IO_B12_L16_AD24_N,IO_B12_L8_W24_N
IO_B12_L19_AD21_P,IO_B12_L7_AA25_P,IO_P,73,74,VIN_CFG,VCC_CFG_B13,VCC_CFG_B14
IO_B12_L19_VREF_AE21_N,IO_B12_L7_AB25_N,IO_N,75,76,IO_P,IO_B12_L20_AF24_P,IO_B12_L21_AD26_P
VCC_CFG_B13,VCC_CFG_B14,VIN_CFG,77,78,IO_N,IO_B12_L20_AF25_N,IO_B12_L21_AE26_N
IO_B12_L22_AE23_P,IO_B12_U21,IO_P,79,80,GND,GND,GND
IO_B12_L22_AF23_N,IO_B12_Y20,IO_N,81,82,IO_P,IO_B12_L24_AE22_P,IO_B12_L10_Y25_P
GND,GND,GND,83,84,IO_N,IO_B12_L24_AF22_N,IO_B12_L10_Y26_N
IO_B13_L12_MRCC_N21_P,IO_B12_L12_MRCC_Y23_P,PCLK_P,85,86,VOUT_3V3,VCC_3V3,VCC_3V3
IO_B13_L12_MRCC_N22_N,IO_B12_L12_MRCC_AA24_N,PCLK_N,87,88,IO_P,IO_B13_L1_K25_P,IO_B14_L11_SRCC_D23_P
VCC_2V5,VCC_2V5,VOUT,89,90,IO_N,IO_B13_L1_K26_N,IO_B14_L11_SRCC_D24_N
IO_B13_L5_N26_P,IO_B14_L10_C21_P,IO_P,91,92,IO_P,IO_B13_L2_R26_P,IO_B14_L9_E21_P
IO_B13_L5_M26_N,IO_B14_L10_B21_N,IO_N,93,94,IO_N,IO_B13_L2_P26_N,IO_B14_L9_E22_N
IO_B13_L6_R25_P,IO_B14_L5_D26_P,IO_P,95,96,GND,GND,GND
IO_B13_L6_P25_N,IO_B14_L5_C26_N,IO_N,97,98,IO_P,IO_B13_L3_M25_P,IO_B14_L7_D21_P
GND,GND,GND,99,100,IO_N,IO_B13_L3_L25_N,IO_B14_L7_C22_N
IO_B13_L8_M24_P,IO_B14_L4_A23_P,IO_P,101,102,VMON,VMON_1V0,VMON_1V0
IO_B13_L8_L24_N,IO_B14_L4_A24_N,IO_N,103,104,SCLK_P,IO_B13_L11_SRCC_P23_P,IO_B14_L12_MRCC_F22_P
IO_B13_L15_T24_P,IO_B14_L8_B20_P,IO_P,105,106,SCLK_N,IO_B13_L11_SRCC_N23_N,IO_B14_L12_MRCC_E23_N
IO_B13_L15_T25_N,IO_B14_L8_A20_N,IO_N,107,108,GND,GND,GND
GND,GND,GND,109,110,RSVD,FPGA_V_P,FPGA_V_P
I2C_SCL,I2C_SCL,I2C_SCL,111,112,RSVD,FPGA_V_N,FPGA_V_N
I2C_SDA,I2C_SDA,I2C_SDA,113,114,FLASH_DI,FLASH_DI,FLASH_DI
I2C_INT#,I2C_INT#,I2C_INT#,115,116,FLASH_CS#,FLASH_CS#,FLASH_CS#
JTAG_TDI,JTAG_TDI,JTAG_TDI,117,118,FLASH_CLK,FLASH_CLK_FPGA_CCLK,FLASH_CLK_FPGA_CCLK
JTAG_TMS,JTAG_TMS,JTAG_TMS,119,120,GND,GND,GND
JTAG_TDO,JTAG_TDO,JTAG_TDO,121,122,FLASH_DO,FLASH_DO_FPGA_DIN,FLASH_DO_FPGA_DIN
JTAG_TCK,JTAG_TCK,JTAG_TCK,123,124,SRST#_RDY#,FPGA_INIT#,FPGA_INIT#
GND,GND,GND,125,126,BOOT_MODE,FPGA_MODE,FPGA_MODE
USB_D_P,USB_D_P,USB_DP,127,128,USB_CPEN,-,-
USB_D_N,USB_D_N,USB_DM,129,130,FPGA_DONE,FPGA_DONE,FPGA_DONE
USB_VBUS,USB_VBUS,VBUS_HDP,131,132,POR#_LOAD#,FPGA_PROG#,FPGA_PROG#
-,-,ID_HDM,133,134,GND,GND,GND
GND,GND,GND,135,136,USB_SSTX_P,USB_SSTX_P,-
USB_SSRX_P,-,USB_SSRX_P,137,138,GND,GND,GND
GND,GND,GND,139,140,USB_SSTX_N,USB_SSTX_N,-
USB_SSRX_N,-,USB_SSRX_N,141,142,GND,GND,GND
GND,GND,GND,143,144,ETH_D_N,ETH1_D_N,ETH1_D_N
ETH0_D_N,ETH0_D_N,ETH_D_N,145,146,ETH_D_P,ETH1_D_P,ETH1_D_P
ETH0_D_P,ETH0_D_P,ETH_D_P,147,148,ETH_LED1#,ETH1_LED1#,ETH1_LED1#
ETH0_LED1#,ETH0_LED1#,ETH_LED1#,149,150,ETH_C_N,ETH1_C_N,ETH1_C_N
ETH0_C_N,ETH0_C_N,ETH_C_N,151,152,ETH_C_P,ETH1_C_P,ETH1_C_P
ETH0_C_P,ETH0_C_P,ETH_C_P,153,154,ETH_CTREF,ETH1_CTREF,ETH1_CTREF
ETH0_CTREF,ETH0_CTREF,ETH_CTREF,155,156,ETH_B_N,ETH1_B_N,ETH1_B_N
ETH0_B_N,ETH0_B_N,ETH_B_N,157,158,ETH_B_P,ETH1_B_P,ETH1_B_P
ETH0_B_P,ETH0_B_P,ETH_B_P,159,160,ETH_LED2#,ETH1_LED2#,ETH1_LED2#
ETH0_LED2#,ETH0_LED2#,ETH_LED2#,161,162,ETH_A_N,ETH1_A_N,ETH1_A_N
ETH0_A_N,ETH0_A_N,ETH_A_N,163,164,ETH_A_P,ETH1_A_P,ETH1_A_P
ETH0_A_P,ETH0_A_P,ETH_A_P,165,166,GND,GND,GND
GND,GND,GND,167,168,VIN_BAT,VCC_BAT,VCC_BAT
Mercury KX1,Mercury+ KX2,Product Name,Connector B,Pin Numbers,Product Name,Mercury KX1,Mercury+ KX2
Signal Name,Signal Name,Pin Type,Inside,Outside,Pin Type,Signal Name,Signal Name
GND,GND,GND,1,2,GND,GND,GND
IO_B16_L11_SRCC_G11_P,MGT_REFCLK2_D6_P,SCLK_P,3,4,MGT_CLK_P,MGT_REFCLK0_D6_P,MGT_REFCLK0_H6_P
IO_B16_L11_SRCC_F10_N,MGT_REFCLK2_D5_N,SCLK_N,5,6,MGT_CLK_N,MGT_REFCLK0_D5_N,MGT_REFCLK0_H5_N
IO_B16_L2_G10_P,MGT_REFCLK3_F6_P,IO_P,7,8,VMON,VMON_DDR3,VMON_DDR3
IO_B16_L2_G9_N,MGT_REFCLK3_F5_N,IO_N,9,10,MGT_CLK_P,MGT_REFCLK1_F6_P,MGT_REFCLK1_K6_P
GND,GND,GND,11,12,MGT_CLK_N,MGT_REFCLK1_F5_N,MGT_REFCLK1_K5_N
MGT_TX0_F2_P,MGT_TX0_P2_P,MGT_TX_P,13,14,GND,GND,GND
GND,GND,GND,15,16,MGT_RX_P,MGT_RX0_G4_P,MGT_RX0_R4_P
MGT_TX0_F1_N,MGT_TX0_P1_N,MGT_TX_N,17,18,GND,GND,GND
GND,GND,GND,19,20,MGT_RX_N,MGT_RX0_G3_N,MGT_RX0_R3_N
MGT_TX1_D2_P,MGT_TX1_M2_P,MGT_TX_P,21,22,GND,GND,GND
GND,GND,GND,23,24,MGT_RX_P,MGT_RX1_E4_P,MGT_RX1_N4_P
MGT_TX1_D1_N,MGT_TX1_M1_N,MGT_TX_N,25,26,GND,GND,GND
GND,GND,GND,27,28,MGT_RX_N,MGT_RX1_E3_N,MGT_RX1_N3_N
MGT_TX2_B2_P,MGT_TX2_K2_P,MGT_TX_P,29,30,GND,GND,GND
GND,GND,GND,31,32,MGT_RX_P,MGT_RX2_C4_P,MGT_RX2_L4_P
MGT_TX2_B1_N,MGT_TX2_K1_N,MGT_TX_N,33,34,GND,GND,GND
GND,GND,GND,35,36,MGT_RX_N,MGT_RX2_C3_N,MGT_RX2_L3_N
MGT_TX3_A4_P,MGT_TX3_H2_P,MGT_TX_P,37,38,GND,GND,GND
GND,GND,GND,39,40,MGT_RX_P,MGT_RX3_B6_P,MGT_RX3_J4_P
MGT_TX3_A3_N,MGT_TX3_H1_N,MGT_TX_N,41,42,GND,GND,GND
GND,GND,GND,43,44,MGT_RX_N,MGT_RX3_B5_N,MGT_RX3_J3_N
IO_B16_L3_J13_P,MGT_TX4_F2_P,IO_P,45,46,GND,GND,GND
IO_B16_L3_H13_N,MGT_TX4_F1_N,IO_N,47,48,IO_P,IO_B16_L4_J11_P,MGT_RX4_G4_P
GND,GND,GND,49,50,IO_N,IO_B16_L4_J10_N,MGT_RX4_G3_N
IO_B16_L5_H14_P,MGT_TX5_D2_P,IO_P,51,52,VOUT,VCC_1V8,VCC_1V8
IO_B16_L5_G14_N,MGT_TX5_D1_N,IO_N,53,54,IO_P,IO_B16_L6_H12_P,MGT_RX5_E4_P
VCC_3V3,VCC_3V3,VOUT_3V3,55,56,IO_N,IO_B16_L6_VREF_H11_N,MGT_RX5_E3_N
IO_B16_L12_MRCC_E10_P,IO_B16_L11_SRCC_G11_P,PCLK_P,57,58,GND,GND,GND
IO_B16_L12_MRCC_D10_N,IO_B16_L11_SRCC_F10_N,PCLK_N,59,60,IO_P,IO_B16_L8_D9_P,MGT_RX6_C4_P
GND,GND,GND,61,62,IO_N,IO_B16_L8_D8_N,MGT_RX6_C3_N
IO_B16_L9_A9_P,MGT_TX6_B2_P,IO_P,63,64,VIN_IO,VCC_IO_B16,VCC_IO_B15
IO_B16_L9_A8_N,MGT_TX6_B1_N,IO_N,65,66,IO_P,IO_B16_L10_C9_P,MGT_RX7_B6_P
VCC_IO_B16,VCC_IO_B16,VIN_IO,67,68,IO_N,IO_B16_L10_B9_N,MGT_RX7_B5_N
IO_B16_L1_H9_P,MGT_TX7_A4_P,IO_P,69,70,GND,GND,GND
IO_B16_L1_H8_N,MGT_TX7_A3_N,IO_N,71,72,IO_P,IO_B16_L7_F9_P,IO_B15_L17_F19_P
GND,GND,GND,73,74,IO_N,IO_B16_L7_F8_N,IO_B15_L17_E20_N
IO_B16_L15_F14_P,IO_B16_L19_C14_P,IO_P,75,76,VOUT,VCC_1V8,VCC_1V8
IO_B16_L15_F13_N,IO_B16_L19_VREF_C13_N,IO_N,77,78,PCLK_P,IO_B16_L13_MRCC_C12_P,IO_B15_L14_SRCC_H17_P
VCC_3V3,VCC_3V3,VOUT_3V3,79,80,PCLK_N,IO_B16_L13_MRCC_C11_N,IO_B15_L14_SRCC_H18_N
IO_B16_L14_SRCC_E11_P,IO_B16_L17_D14_P,SCLK_P,81,82,GND,GND,GND
IO_B16_L14_SRCC_D11_N,IO_B16_L17_D13_N,SCLK_N,83,84,IO_P,IO_B16_L16_G12_P,IO_B15_L16_G19_P
GND,GND,GND,85,86,IO_N,IO_B16_L16_F12_N,IO_B15_L16_F20_N
IO_B16_L17_D14_P,IO_B16_L3_J13_P,IO_P,87,88,VIN_IO,VCC_IO_B16,VCC_IO_B15
IO_B16_L17_D13_N,IO_B16_L3_H13_N,IO_N,89,90,IO_P,IO_B16_L19_C14_P,IO_B15_L21_L19_P
IO_B16_L18_E13_P,IO_B16_L15_F14_P,IO_P,91,92,IO_N,IO_B16_L19_VREF_C13_N,IO_B15_L21_L20_N
IO_B16_L18_E12_N,IO_B16_L15_F13_N,IO_N,93,94,IO_P,IO_B16_L20_B12_P,IO_B15_L19_K20_P
VCC_IO_B16,VCC_IO_B16,VIN_IO,95,96,IO_N,IO_B16_L20_B11_N,IO_B15_L19_VREF_J20_N
IO_B16_L21_B14_P,IO_B16_L18_E13_P,IO_P,97,98,GND,GND,GND
IO_B16_L21_A14_N,IO_B16_L18_E12_N,IO_N,99,100,IO_P,IO_B16_L23_B15_P,IO_B15_L23_M17_P
IO_B16_L22_B10_P,IO_B16_L16_G12_P,IO_P,101,102,IO_N,IO_B16_L23_A15_N,IO_B15_L23_L18_N
IO_B16_L22_A10_N,IO_B16_L16_F12_N,IO_N,103,104,IO_P,IO_B16_L24_A13_P,IO_B15_L24_L17_P
GND,GND,GND,105,106,IO_N,IO_B16_L24_A12_N,IO_B15_L24_K18_N
IO_B15_L1_AD0_C16_P,IO_B16_L4_J11_P,IO_P,107,108,VOUT,VCC_1V8,VCC_1V8
IO_B15_L1_AD0_B16_N,IO_B16_L4_J10_N,IO_N,109,110,IO_P,IO_B15_L3_AD1_B17_P,IO_B15_L22_K16_P
IO_B15_L2_AD8_A18_P,IO_B16_L6_H12_P,IO_P,111,112,IO_N,IO_B15_L3_AD1_A17_N,IO_B15_L22_K17_N
IO_B15_L2_AD8_A19_N,IO_B16_L6_VREF_H11_N,IO_N,113,114,IO_P,IO_B15_L4_AD9_C19_P,IO_B15_L20_J18_P
VCC_3V3,VCC_3V3,VOUT_3V3,115,116,IO_N,IO_B15_L4_AD9_B19_N,IO_B15_L20_J19_N
IO_B15_L5_AD2_C17_P,IO_B16_L2_G10_P,IO_P,117,118,GND,GND,GND
IO_B15_L5_AD2_C18_N,IO_B16_L2_G9_N,IO_N,119,120,IO_P,IO_B15_L6_D15_P,IO_B15_L18_H19_P
GND,GND,GND,121,122,IO_N,IO_B15_L6_VREF_D16_N,IO_B15_L18_G20_N
IO_B15_L12_MRCC_AD5_F17_P,IO_B16_L14_SRCC_E11_P,SCLK_P,123,124,IO_P,IO_B15_L7_AD10_H16_P,IO_B15_L15_D19_P
IO_B15_L12_MRCC_AD5_E17_N,IO_B16_L14_SRCC_D11_N,SCLK_N,125,126,IO_N,IO_B15_L7_AD10_G16_N,IO_B15_L15_D20_N
VCC_3V3,VCC_3V3,VOUT_3V3,127,128,VOUT,VCC_1V8,VCC_1V8
IO_B15_L10_AD4_E15_P,IO_B16_L24_A13_P,IO_P,129,130,SCLK_P,IO_B15_L11_SRCC_AD12_G17_P,IO_B15_L11_SRCC_AD12_G17_P
IO_B15_L10_AD4_E16_N,IO_B16_L24_A12_N,IO_N,131,132,SCLK_N,IO_B15_L11_SRCC_AD12_F18_N,IO_B15_L11_SRCC_AD12_F18_N
IO_B15_L8_AD3_G15_P,IO_B16_L22_B10_P,IO_P,133,134,GND,GND,GND
IO_B15_L8_AD3_F15_N,IO_B16_L22_A10_N,IO_N,135,136,IO_P,IO_B15_L9_AD11_J15_P,IO_B15_L5_AD2_C17_P
GND,GND,GND,137,138,IO_N,IO_B15_L9_AD11_J16_N,IO_B15_L5_AD2_C18_N
IO_B15_L17_F19_P,IO_B16_L20_B12_P,IO_P,139,140,VIN_IO,VCC_IO_B15,VCC_IO_B15
IO_B15_L17_E20_N,IO_B16_L20_B11_N,IO_N,141,142,IO_P,IO_B15_L18_H19_P,IO_B15_L1_AD0_C16_P
VCC_IO_B15,VCC_IO_B15,VIN_IO,143,144,IO_N,IO_B15_L18_G20_N,IO_B15_L1_AD0_B16_N
IO_B15_L15_D19_P,IO_B16_L5_H14_P,IO_P,145,146,GND,GND,GND
IO_B15_L15_D20_N,IO_B16_L5_G14_N,IO_N,147,148,IO_P,IO_B15_L16_G19_P,IO_B15_L3_AD1_B17_P
GND,GND,GND,149,150,IO_N,IO_B15_L16_F20_N,IO_B15_L3_AD1_A17_N
IO_B15_L13_MRCC_E18_P,IO_B16_L13_MRCC_C12_P,PCLK_P,151,152,VOUT_3V3,VCC_3V3,VCC_3V3
IO_B15_L13_MRCC_D18_N,IO_B16_L13_MRCC_C11_N,PCLK_N,153,154,SCLK_P,IO_B15_L14_SRCC_H17_P,IO_B15_L13_MRCC_E18_P
VCC_3V3,VCC_3V3,VOUT_3V3,155,156,SCLK_N,IO_B15_L14_SRCC_H18_N,IO_B15_L13_MRCC_D18_N
IO_B15_L19_K20_P,IO_B16_L21_B14_P,IO_P,157,158,GND,GND,GND
IO_B15_L19_VREF_J20_N,IO_B16_L21_A14_N,IO_N,159,160,IO_P,IO_B15_L21_L19_P,IO_B15_L4_AD9_C19_P
GND,GND,GND,161,162,IO_N,IO_B15_L21_L20_N,IO_B15_L4_AD9_B19_N
IO_B15_L20_J18_P,IO_B16_L23_B15_P,IO_P,163,164,IO_P,IO_B15_L22_K16_P,IO_B15_L2_AD8_A18_P
IO_B15_L20_J19_N,IO_B16_L23_A15_N,IO_N,165,166,IO_N,IO_B15_L22_K17_N,IO_B15_L2_AD8_A19_N
VMON_1V2,VMON_1V2,VMON,167,168,VMON,VMON_AUX_IO,VMON_AUX_IO
